2020/08/30 21:18:16 considering 3498 tasks
2020/08/30 21:18:16 
2020/08/30 21:18:16 [*] coverage: 54.40%, md5: bc07be7117bf0552babdbc92bf194e1f, uuid: 71d4dd8c-f984-461d-8ddf-a32283f78d33, profile: aassa.bat
2020/08/30 21:18:16 P: 1.00, md5: ed45419f8315e39976698e8530136b81, uuid: 04783acb-1c61-4396-a669-526f5f030467, name: SHIPPING DOCUMENTS-AIR_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 785901f9e840201f9e51ee1cee703740, uuid: 5517557c-ed19-40d0-b013-ce697332a9a1, name: ADDY-P.exe
2020/08/30 21:18:16 P: 1.00, md5: 505d281202ef94373bd627c8e7d09cba, uuid: 007aee8a-117c-4af1-831d-99eb93a83f9d, name: Purchase Order LPO141223.exe
2020/08/30 21:18:16 P: 1.00, md5: a2cee25ff6fe14d72c888e5ad2e834ca, uuid: caad70a5-a9b2-4075-9980-4e43c319a343, name: prijavnica za preventivno opremo·pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: d259243f3d8deceb429e8a9c0d7f6fec, uuid: 87f8a472-7b2c-49ba-bc43-ea20a39e3a14, name: makave_356B.exe
2020/08/30 21:18:16 P: 1.00, md5: 1a6fb6774bf202bf3f509fcfa1b822c1, uuid: cfb09745-64d6-48b7-ae56-2707e98eb3a0, name: datwenty.exe
2020/08/30 21:18:16 P: 1.00, md5: fc0120387c04ab38898d8a253c2c975d, uuid: 57ee0df2-28d0-425b-846f-0e6e822b157d, name: Company Profile and Contract files.exe
2020/08/30 21:18:16 P: 1.00, md5: 1c2bcaec5eb501016cb439ca2e24921c, uuid: 639642af-7531-4990-ad67-714529c2d51e, name: SUB--AGENCY.exe
2020/08/30 21:18:16 P: 1.00, md5: 30207e3be851656c7a3acd30270565aa, uuid: 72569787-0459-4e36-b2b0-34666f0e457e, name: 36b9346408d4d369c959f7e51c4d0cb2a31e73d04eb1a48ec36d1b39157d7ca8
2020/08/30 21:18:16 P: 1.00, md5: 8661541111793dcc12f19a3925f59a7d, uuid: 0a3b606d-cd90-4bef-906d-56894759bfcf, name: 5209444fb7ec5bed853b20ec5f7d1418804a6568
2020/08/30 21:18:16 P: 1.00, md5: 949bf8e5bd87939889191ba877b37519, uuid: d9b1b02e-0048-43be-9bf1-03538499e532, name: Doc_3874 Price_list.exe
2020/08/30 21:18:16 P: 1.00, md5: a26dea620a3020f3dc3457e1432e4fa1, uuid: 92ecc10a-1952-4e87-86c6-855cfd6c42b3, name: Request for quotation 13-09-2019·pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 7c6ea078b8833f25cb8ec8222fe46c84, uuid: 88fad330-811b-4bf1-9c3c-03288b8b4270, name: 2.exe
2020/08/30 21:18:16 P: 1.00, md5: aa6abd9397e0de97d2c2ee352251a0ed, uuid: a447a4e8-3179-4a31-a20e-04997504327c, name: makave (2)_protected_54DC740.exe
2020/08/30 21:18:16 P: 1.00, md5: 96fe4957c53c6ccbec5410c00a4e9bb0, uuid: 47e4f461-6d5d-45b9-bd31-6dc243f02300, name: PROFORMA INVOICE FOR NEW ORDERPDF.exe
2020/08/30 21:18:16 P: 1.00, md5: a2cee25ff6fe14d72c888e5ad2e834ca, uuid: 2ceebbdd-2acf-4324-acd8-813416c5b4c2, name: prijavnica za preventivno opremo·pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 5d455f154ee0a74c1315d4a84b9b5505, uuid: 0dd5814a-e23b-4d96-b8f9-1bc1247e1d27, name: Razylokibot.bin
2020/08/30 21:18:16 P: 1.00, md5: eea7ff5a820eb97a055d775703161e01, uuid: 69b3a6c7-edd0-43fa-add7-85152c63d789, name: Evergreen Group Pte Ltd - Request For Quotation.exe
2020/08/30 21:18:16 P: 1.00, md5: 3d36f900e27e48aa2ebe2500b2fbf77a, uuid: a161975e-15ef-4735-93d7-3508c71c1390, name: ขอข้อเสนอ 06-02-2020·pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: b1316d62f17fde7d6d13ec00c04dd5b3, uuid: 5ce76882-a32a-452a-a470-c32ae670a2ea, name: MV TASMAN SEA.exe
