2020/08/30 22:43:14 Warn: cannot load process tree model at dc65776b-ff73-45ee-89c4-34189aaafe80.json, corrupted data, cannot find "Main process" process
2020/08/30 22:43:14 considering 1861 tasks
2020/08/30 22:43:14 
2020/08/30 22:43:14 [*] coverage: 27.14%, md5: 0c79e2047f2afd97b4fad12ce1127847, uuid: 33fd909f-81d2-456c-9884-7df638c34520, profile: 88b1aa9a3abacfbca2c18956c5aff88efe05c23c.exe
2020/08/30 22:43:14 P: 1.00, md5: da6aa359a2d368470ecdfd5475e998b4, uuid: 0d6c5ce6-6438-45ef-a60a-b5984af86a23, name: RemoveDeviceElevated.exe
2020/08/30 22:43:14 P: 1.00, md5: 1a142395b5043ed2ca1545e1a5b0ba95, uuid: f48541a5-9b84-4565-9b75-f3de78193c40, name: 90352.exe
2020/08/30 22:43:14 P: 1.00, md5: c772156c27e34c250e843bdbb5a38474, uuid: 957f095f-8b14-4b9d-8d42-430570047209, name: uT068804
2020/08/30 22:43:14 P: 1.00, md5: a97cbbd774ca6e61cf9447d713f7cf5d, uuid: f8a1db42-bf9f-41db-81c0-917d5f274cb0, name: emotetdrop.exe
2020/08/30 22:43:14 P: 1.00, md5: dc88e4182eb80b4147896539a6b4bfc3, uuid: 35f10903-74c6-488c-b712-b2fa5d8b426b, name: B20F.exe
2020/08/30 22:43:14 P: 1.00, md5: 87ab3c9d95d82555765c6dca0667975a, uuid: e8bf8a67-37d2-4a32-8af2-0fdba7e5cd0f, name: emotet.exe
2020/08/30 22:43:14 P: 1.00, md5: 169e0990ebe9ceaa567f3eb98345ab55, uuid: 12576d40-7ddf-48d8-94ff-d0b58eee1fee, name: 86gDICrfh4pxa.exe
2020/08/30 22:43:14 P: 1.00, md5: 34df541370faa0a947b57916478d0e53, uuid: 56646a85-88a0-4edb-afa9-6f29dc37adf0, name: B-2019-12-20-Emotet-binary-retrieved-by-Word-doc.exe
2020/08/30 22:43:14 P: 1.00, md5: d3652ca38ee209bcdd66ffe8f3fca7c5, uuid: deb5de8f-449c-48a8-85c3-01ca3695a0fc, name: 266-wcvu9ml-67633827
2020/08/30 22:43:14 P: 1.00, md5: c558199d27c948463379273532d004b5, uuid: 5b441c7b-a889-4e40-b83b-49bd10dd5b66, name: aw2mIU
2020/08/30 22:43:14 P: 1.00, md5: 210c6658ab41508c6f1a654fc4924280, uuid: 699244e3-e2bd-496d-8217-cb67733c6599, name: beFSJnQ
2020/08/30 22:43:14 P: 1.00, md5: 1a142395b5043ed2ca1545e1a5b0ba95, uuid: 132f64d1-63c6-4d48-8793-567539958113, name: 90352.exe
2020/08/30 22:43:14 P: 1.00, md5: 0225f9a4dd56266544b8f20562b7f3e2, uuid: 826e82db-f60f-4b9f-9096-08691b77cba4, name: VirusShare_0225f9a4dd56266544b8f20562b7f3e2
2020/08/30 22:43:14 P: 1.00, md5: 23d31e0b4a2982d1b0290f042f470e54, uuid: b43a6ce5-fd74-425b-9799-0f03aaa5d60f, name: ApZ405
2020/08/30 22:43:14 P: 1.00, md5: 3943ff32a0efd8ac29e014dd136e57f9, uuid: d096fce3-6b8a-4263-9f41-6bc120539785, name: 3943ff32a0efd8ac29e014dd136e57f9
2020/08/30 22:43:14 P: 1.00, md5: 55cb6ea4c374a5c28ddb60754f7fa47d, uuid: 1f4ad76e-4a72-4bef-9c80-81aaa7822b61, name: 657.bin
2020/08/30 22:43:14 P: 1.00, md5: ef3346d27d2a1df731dd2ea50a1a480c, uuid: d676f854-2b3d-44bf-8050-8342efd8f970, name: 6sjl627216302.exe
2020/08/30 22:43:14 P: 1.00, md5: 7a320d3703f87e43140c3c126ef79eee, uuid: 5cbf1c2d-5697-49d7-8a8d-fb4069c151d6, name: 769758.exe
2020/08/30 22:43:14 P: 1.00, md5: 112c0c31859f6a3b7000cf54985c7adc, uuid: 55ed422a-996b-41dc-8056-e379af3ce50d, name: DvZ63
2020/08/30 22:43:14 P: 1.00, md5: af96c875ac37b9e6eb5c91ac814f3a98, uuid: ff0eb684-36a7-4b5b-a118-10dbdef2c244, name: j9xvyj.exe
2020/08/30 22:43:14 P: 1.00, md5: 8032015b85ab33984684bee24ec949a9, uuid: 4d39b07f-4ea9-40ed-a379-e29bc6b924c0, name: Ut
2020/08/30 22:43:14 P: 1.00, md5: f1d9d74bbe619a53cebff4de859a02d9, uuid: ffd3e1ec-da22-4a33-bf33-8230c6f55c7d, name: yab5WG8mFR.exe
2020/08/30 22:43:14 P: 1.00, md5: 412ff1cd9b02dd85e0e23a6a93857768, uuid: 7c180ac2-4da1-4b17-ac2b-27965c345d0c, name: NqrYQgm
2020/08/30 22:43:14 P: 1.00, md5: aadcd8ff5d41c8758783be42e62715de, uuid: ebef21ea-23b6-4a1c-90bb-005285bbd0c8, name: pe1
2020/08/30 22:43:14 P: 1.00, md5: e94d94e9311594becb498b6d65aa0e57, uuid: 361ec536-8293-4891-8730-62910240fcb4, name: pr1qji
2020/08/30 22:43:14 P: 1.00, md5: 3c00cf6892fbb5a0d8d60abd8e09f397, uuid: 50f9d57d-a42e-4d65-9516-a350d451a1ea, name: QMNJUsxD.exe
